LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'0NH7,"DOVER, NH 03820","DOVER, NH 03820",03820,03820,43-09-06.5900N,155346.5900N,070-50-48.8400W,255048.8400W
'NH56,"DOVER, NH 03820","DOVER, NH 03820",03820,03820,43-12-51.8887N,155571.8887N,070-52-26.9143W,255146.9143W
'02NH,"N. CONWAY, NH 03860","N. CONWAY, NH 03860",03860,03860,44-39-25.7000N,160765.7000N,071-13-08.6000W,256388.6000W
'NH83,"DUNBARTON, NH 03046","DUNBARTON, NH 03046",03046,03046,43-06-34.2900N,155194.2900N,071-38-18.2600W,257898.2600W
'ERR,"ERROL, NH 03579","ERROL, NH 03579",03579,03579,44-47-33.1790N,161253.1790N,071-09-51.2820W,256191.2820W
'NH32,"EXETER, NH 03833","EXETER, NH 03833",03833,03833,42-58-53.3180N,154733.3180N,070-55-07.2010W,255307.2010W
'NH57,"EXETER, NH 03833","EXETER, NH 03833",03833,03833,42-58-55.1100N,154735.1100N,070-56-10.4500W,255370.4500W
'1B5,"FRANCONIA, NH 03580","FRANCONIA, NH 03580",03580,03580,44-11-41.9000N,159101.9000N,071-45-02.0000W,258302.0000W
'25NH,"FRANCONIA, NH 03580","FRANCONIA, NH 03580",03580,03580,44-13-56.7000N,159236.7000N,071-42-58.7000W,258178.7000W
'NH58,"FRANKLIN, NH 03235","FRANKLIN, NH 03235",03235,03235,43-25-04.2770N,156304.2770N,071-38-41.2740W,257921.2740W
'NH81,"FRANKLIN, NH 03235","LACONIA, NH 03246",03235,03246,43-26-54.0300N,156414.0300N,071-38-43.5500W,257923.5500W
'60NH,"NEW YORK, NY 10023","NEW YORK, NY 10023",10023,10023,43-48-31.0000N,157711.0000N,071-05-30.0000W,255930.0000W
'NH88,"NORTH ANDOVER, MA 01845","NORTH ANDOVER, MA 01845",01845,01845,43-04-02.2960N,155042.2960N,071-36-40.2590W,257800.2590W
'2G8,"GORHAM, NH 03581","GORHAM, NH 03581",03581,03581,44-23-36.8950N,159816.8950N,071-11-53.1200W,256313.1200W
'NH24,"TOWACO, NJ 07082","TOWACO, NJ 07082-0263",07082,07082-0263,43-32-43.0000N,156763.0000N,071-59-46.0000W,259186.0000W
'NH14,"GREENFIELD, NH 03047","GREENFIELD, NH 03047",03047,03047,42-55-46.0000N,154546.0000N,071-51-39.0000W,258699.0000W
'62NH,"HALES LOCATION, NH 03860","HALES LOCATION, NH 03860",03860,03860,44-03-49.0000N,158629.0000N,071-09-10.0000W,256150.0000W
'NH91,"HALES LOCATION, NH 03860","HALES LOCATION, NH 03860",03860,03860,44-02-37.8000N,158557.8000N,071-10-00.2400W,256200.2400W
'10NH,"HAMPSTEAD, NH 03841","HAMPSTEAD, NH 03841",03841,03841,42-52-26.7000N,154346.7000N,071-10-46.8000W,256246.8000W
'NH45,"HAMPTON, NH 03842","HAMPTON, NH 03842",03842,03842,42-56-15.3230N,154575.3230N,070-50-33.1920W,255033.1920W
'7B3,"PORTSMOUTH, NH 03801","NORTH HAMPTON, NH 03862",03801,03862,42-57-40.5650N,154660.5650N,070-49-48.5550W,254988.5550W
'NH35,"HAMPTON, NH 03842","HAMPTON, NH 03842",03842,03842,42-57-01.4200N,154621.4200N,070-51-25.7200W,255085.7200W
'27NH,"ETNA, NH 03750","ETNA, NH 03750",03750,03750,43-40-26.3000N,157226.3000N,072-12-23.3000W,259943.3000W
'5B9,"N. HAVERHILL, NH 03774","N. HAVERHILL, NH 03774",03774,03774,44-04-48.6222N,158688.6222N,072-00-27.9357W,259227.9357W
'33NH,"HENNIKER, NH 03242","HENNIKER, NH 03242",03242,03242,43-08-39.9000N,155319.9000N,071-51-13.0000W,258673.0000W
'NH86,"HENNIKER, NH 03242","HENNIKER, NH 03242",03242,03242,43-10-30.2900N,155430.2900N,071-47-14.2800W,258434.2800W
